x	l	dc
-4.000000e-02	4	9.750085e-01
-4.000000e-02	5	9.765015e-01
-4.000000e-02	6	9.795600e-01
-3.000000e-02	0	1.696071e+00
-3.000000e-02	1	1.540750e+00
-3.000000e-02	2	1.029440e+00
-3.000000e-02	3	1.021389e+00
-3.000000e-02	4	9.979932e-01
-3.000000e-02	5	9.989714e-01
-3.000000e-02	6	1.001716e+00
-2.000000e-02	0	1.696071e+00
-2.000000e-02	1	1.591374e+00
-2.000000e-02	2	1.047823e+00
-2.000000e-02	3	1.043046e+00
-2.000000e-02	4	1.021589e+00
-2.000000e-02	5	1.022144e+00
-2.000000e-02	6	1.024546e+00
-1.000000e-02	0	1.696071e+00
-1.000000e-02	1	1.643148e+00
-1.000000e-02	2	1.067289e+00
-1.000000e-02	3	1.065206e+00
-1.000000e-02	4	1.045813e+00
-1.000000e-02	5	1.046041e+00
-1.000000e-02	6	1.048077e+00
7.528700e-16	0	1.696071e+00
7.528700e-16	1	1.696071e+00
7.528700e-16	2	1.087895e+00
7.528700e-16	3	1.087895e+00
7.528700e-16	4	1.070682e+00
7.528700e-16	5	1.070682e+00
7.528700e-16	6	1.072332e+00
1.000000e-02	0	1.696071e+00
1.000000e-02	1	1.750143e+00
1.000000e-02	2	1.109699e+00
1.000000e-02	3	1.111142e+00
1.000000e-02	4	1.096213e+00
1.000000e-02	5	1.096089e+00
1.000000e-02	6	1.097340e+00
2.000000e-02	0	1.696071e+00
2.000000e-02	1	1.805365e+00
2.000000e-02	2	1.132758e+00
2.000000e-02	3	1.134979e+00
2.000000e-02	4	1.122428e+00
2.000000e-02	5	1.122286e+00
2.000000e-02	6	1.123127e+00
3.000000e-02	0	1.696071e+00
3.000000e-02	1	1.861736e+00
3.000000e-02	2	1.157134e+00
3.000000e-02	3	1.159437e+00
3.000000e-02	4	1.149345e+00
3.000000e-02	5	1.149296e+00
3.000000e-02	6	1.149722e+00
4.000000e-02	0	1.696071e+00
4.000000e-02	1	1.919257e+00
4.000000e-02	2	1.182886e+00
4.000000e-02	3	1.184554e+00
